Date Reported,DR Number,Date Occurred,Time Occurred,Area,Area Name,RD,Crime Code,Crime Code Description,Status,Status Description,Location,Cross Street,Lat and Long
1/17/2016 12:00,161205027,1/17/2016 12:00,1325,12,77th Street,1259,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont,79TH,AVALON                       AV,"(33.9675, -118.2651)"
3/28/2016 12:00,161607441,3/24/2016 12:00,1500,16,Foothill,1633,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,12540    PIERCE                       ST,,"(34.2731, -118.4052)"
8/2/2016 12:00,160413233,1/1/2016 12:00,1000,4,Hollenbeck,457,661,UNAUTHORIZED COMPUTER ACCESS,IC,Invest Cont,527 N  FICKETT                      ST,,"(34.0477, -118.2047)"
6/9/2016 12:00,161711656,6/9/2016 12:00,1845,17,Devonshire,1766,624,BATTERY - SIMPLE ASSAULT,AA,Adult Arrest,19118    LASSEN                       ST,,"(34.25, -118.5492)"
3/8/2016 12:00,160406900,3/7/2016 12:00,2200,4,Hollenbeck,459,330,BURGLARY FROM VEHICLE,IC,Invest Cont,418 N  FRESNO                       ST,,"(34.0418, -118.1964)"
6/2/2016 12:00,161912690,6/1/2016 12:00,1430,19,Mission,1962,946,OTHER MISCELLANEOUS CRIME,IC,Invest Cont,15330    PLUMMER                      ST,,"(34.2428, -118.4653)"
8/22/2016 12:00,161715323,8/22/2016 12:00,1600,17,Devonshire,1745,510,VEHICLE - STOLEN,IC,Invest Cont,10651    BALBOA                       BL,,"(34.2624, -118.5023)"
9/19/2016 12:00,160620284,9/19/2016 12:00,305,6,Hollywood,643,220,ATTEMPTED ROBBERY,IC,Invest Cont,7257 W  SUNSET                       BL,,"(34.098, -118.3469)"
5/25/2016 12:00,161010266,5/24/2016 12:00,2300,10,West Valley,1039,330,BURGLARY FROM VEHICLE,IC,Invest Cont,6449    DENSMORE                     AV,,"(34.1867, -118.4774)"
2/9/2016 12:00,162105662,2/8/2016 12:00,915,21,Topanga,2196,310,BURGLARY,IC,Invest Cont,21421    IBANEZ                       AV,,"(34.1566, -118.5963)"
3/5/2016 12:00,161006588,3/4/2016 12:00,1830,10,West Valley,1021,330,BURGLARY FROM VEHICLE,IC,Invest Cont,6800    CORBIN                       AV,,"(34.1938, -118.5623)"
7/2/2016 12:00,161914266,7/1/2016 12:00,100,19,Mission,1966,310,BURGLARY,IC,Invest Cont,14265    TERRA BELLA                  ST,,"(34.236, -118.4488)"
7/10/2016 12:00,161315422,7/9/2016 12:00,1900,13,Newton,1365,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),IC,Invest Cont,1341 E  47TH                         ST,,"(34.0011, -118.2521)"
8/9/2016 12:00,161916237,8/5/2016 12:00,1430,19,Mission,1989,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,8801    ARLETA                       AV,,"(34.2288, -118.4123)"
4/24/2016 12:00,160611228,4/24/2016 12:00,110,6,Hollywood,622,236,SPOUSAL (COHAB) ABUSE - AGGRAVATED ASSAULT,AO,Adult Other,2760    NICHOLS CANYON               RD,,"(34.1198, -118.3563)"
3/29/2016 12:00,161508739,3/29/2016 12:00,100,15,N Hollywood,1511,330,BURGLARY FROM VEHICLE,IC,Invest Cont,7215    COLDWATER CANYON             AV,,"(34.2012, -118.4138)"
10/20/2016 12:00,161520128,10/19/2016 12:00,1730,15,N Hollywood,1555,761,BRANDISH WEAPON,AO,Adult Other,11275    HUSTON                       ST,,"(34.16, -118.3746)"
10/13/2016 12:00,162117712,8/12/2016 12:00,2000,21,Topanga,2143,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),AO,Adult Other,6900    MINSTREL                     AV,,"(34.1946, -118.6262)"
7/24/2016 12:00,161515315,7/23/2016 12:00,2030,15,N Hollywood,1547,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),IC,Invest Cont,11521    CUMPSTON                     ST,,"(34.1697, -118.3822)"
9/28/2016 12:00,161801043,9/28/2016 12:00,1831,18,Southeast,1831,251,SHOTS FIRED AT INHABITED DWELLING,IC,Invest Cont,650 W  127TH                        ST,,"(33.9184, -118.2859)"
11/4/2016 12:00,161921231,11/3/2016 12:00,1655,19,Mission,1906,900,VIOLATION OF COURT ORDER,IC,Invest Cont,13443    SAYRE                        ST,,"(34.3181, -118.4248)"
6/28/2016 12:00,160512306,6/28/2016 12:00,500,5,Harbor,566,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,433 W  12TH                         ST,,"(33.7333, -118.2857)"
1/17/2016 12:00,161804788,1/17/2016 12:00,1030,18,Southeast,1826,761,BRANDISH WEAPON,IC,Invest Cont,9315    FIRTH                        BL,,"(33.9523, -118.2476)"
1/19/2016 12:00,160904838,1/18/2016 12:00,1630,9,Van Nuys,985,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",IC,Invest Cont,14305    ROBLAR                       PL,,"(34.1463, -118.445)"
10/14/2016 12:00,160323248,10/14/2016 12:00,700,3,Southwest,334,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,IC,Invest Cont,4307 W  28TH                         ST,,"(34.0312, -118.3327)"
